Url|标题|时间|介绍|公司|所属行业|子行业|地区|轮次|融资额|股权占比|投资方
https://www.itjuzi.com/investevents/10234|硬件电商Enjoy获HighlandCapital领投5000万美元融资|2015.8.7|Enjoy是美国一家硬件电商，主要向消费者出售DJI无人机、GoPro相机等中高端的电子设备，设备将由专业人士免费送货上门，指导用户对商品进行安装启动。近日Enjoy获HighlandCapital领投的5000万美元融资。|Enjoy|电子商务|3C电子|北美洲·美国|天使轮|500万美元|未透露|HighlandCapitalPartners
https://www.itjuzi.com/investevents/10194|摩托罗拉MotorolaSolutions获银湖10亿美元私募投资|2015.8.6|摩托罗拉MotorolaSolutions是一个对讲机和无线电系统制造商。目前，摩托罗拉MotorolaSolutions获银湖10亿美元私募投资。|摩托罗拉MotorolaSolutions|硬件|综合硬件|大洋洲·新西兰|战略投资|10亿人民币|未透露|银湖投资SilverLake
https://www.itjuzi.com/investevents/10210|印度医疗门户Practo获得9000万美元C轮投资|2015.8.6|印度医疗门户Practo建立了一个同时服务病人、医院医生的商业模型。病人可以通过Practo搜索到合适的医生和医院，同时Practo也为医生提供管理软件PractoRay。Practo获得9000万美元C轮融资，腾讯领投，GoogleCapital、DST、AltimeterCapital、MatrixPartners、红杉资本全球股票基金跟投。|Practo|医疗健康|寻医问诊|亚洲·印度|C轮|9000万美元|未透露|腾讯,AltimeterCapital,GoogleCapital,SequoiaCapital(红杉海外),MatrixPartners经纬海外,DSTGlobal(国外投资)
https://www.itjuzi.com/investevents/10201|蛋白食品研发商HamptonCreek获得9000万美元C轮投资|2015.8.6|HamptonCreek是一家制作植物蛋白质食品的初创公司，其主页业务是出口沙拉酱和无奶油饼干面团，致力于完善意大利面和植物性的“炒蛋”。目前，HamptonCreek获得9000万美元C轮投资，HorizonsVentures(Lead)、KhoslaVentures(Lead)。|HamptonCreek|医疗健康|其他医疗健康服务|欧洲·意大利|C轮|9000万美元|未透露|HorizonsVentures维港投资,KhoslaVentures
https://www.itjuzi.com/investevents/10214|印度家政服务平台Doormint获300万美元A轮融资|2015.8.6|Doormint是一家孟买的家政专业服务提供商，用户可以在平台上预约电工、木工、水电工等服务。近日该公司获得HelionVenturePartners，KalaariCapital300万美元A轮投资。|Doormint|本地生活|家政服务|亚洲·印度|A轮|300万美元|未透露|HelionVenturePartners,KalaariCapital
https://www.itjuzi.com/investevents/10216|营销自动化工具Leanplum获B轮1160万美元融资|2015.8.6|营销自动化工具Leanplum成立于2012年，是一家为app开发与运营提供系统性优化解决方案的初创公司，可以让app产品最大化挖掘和释放其用户价值。Leanplum获KPCB和ShastaVentures的B轮1160万美元融资。|Leanplum|企业服务|行业解决方案|北美洲·美国|B轮|1160万美元|未透露|KleinerPerkinsCaufield&Byers,ShastaVentures
https://www.itjuzi.com/investevents/10208|移动应用表现分析工具Amplitude获得900万美元A轮投资|2015.8.6|Amplitude是一个移动应用表现分析工具，能够帮助应用开发者更好的理解用户是怎样使用自己的产品。目前，Amplitude获得900万美元A轮投资，Benchmark、CharlieCheever、DataCollective、DaveMorin、MerusCapital、QuestVenturePartners等。|Amplitude|工具软件|实用工具|北美洲·美国|A轮|900万美元|未透露|BenchmarkCapital,DataCollective,QuestVenturePartners
https://www.itjuzi.com/investevents/10199|人造蛋科技公司ClaraFoods获得170万美元种子投资|2015.8.6|ClaraFoods是一家人造蛋科技公司，通过在酵母中混入些DNA，经过几代培养，你就能得到不靠鸡生的蛋清啦。目前，ClaraFoods获得170万美元种子投资，AliPartovi、DavidFriedberg、GaryHirshberg、HadiPartovi、ScottBanister、SOSV等投资。|ClaraFoods|医疗健康|其他医疗健康服务|北美洲·美国|种子轮|170万美元|未透露|
https://www.itjuzi.com/investevents/10212|澳大利亚餐厅预订系统BeattheQ获得500万美元A轮投资|2015.8.6|BeattheQ是澳大利亚一个餐厅预订、支付管理系统，可以帮助人们找到附近的推荐店铺。目前，BeattheQ获得500万美元A轮投资，Reinventure投资。|BeattheQ|本地生活|美食餐饮|大洋洲·澳大利亚|A轮|500万美元|未透露|
https://www.itjuzi.com/investevents/10205|提供虚拟机感知存储系统的Tintri获1.25亿美元F轮融资|2015.8.6|为虚拟化及云环境提供虚拟机感知存储系统(VAS)的企业TintriInc.今天宣布完成了由SilverLakKraftwerk领投的1.25亿美元的第六轮融资。Tintri的现有投资方洞见创投(InsightVenturePartners)、光速创投(LightspeedVentures)、门罗风投(MenloVentures)和恩颐投资(NEA)也参与了此轮融资，至此，Tintri的融资总额已达到2.6亿美元。Tintri将利用筹集的资金，加快在全球推广虚拟机感知存储系统的步伐。|Tintri|硬件|电子数码|北美洲·加拿大|F轮-上市前|1.25亿美元|未透露|银湖投资SilverLake,LightspeedVenturePartners美国光速
https://www.itjuzi.com/investevents/10215|印度生物科技公司Metacrine获3600万美元A轮融资|2015.8.6|Metacrine是一家印度生物科技公司，Metacrine主要致力于糖尿病，肝脏疾病和其他代谢疾病的药物研发。本轮融资由ArchVenturePartners领投，EcoR1Capital，北极星创投等基金跟投。|Metacrine|医疗健康|医药|北美洲·加拿大|A轮|3600万美元|未透露|ArchVenturePartners
https://www.itjuzi.com/investevents/10198|食品科技公司ImpossibleFoods获得7500万美元A轮投资|2015.8.6|Muufri是一家用户微生物酿造食物的生物科技公司，通过使用转基因酵母，来制造出与反刍动物乳房中提取出的、在生物学上完全相同的液体，从而为世界提供了一个养活人类更为人道的方式。目前，ImpossibleFoods获得7500万美元A轮投资。|Muufri|医疗健康|其他医疗健康服务|北美洲·美国|A轮|7500万美元|未透露|
https://www.itjuzi.com/investevents/10209|德国储蓄升值网站SavingGlobal获得2000万欧元B轮投资|2015.8.6|SavingGlobal是一家简单聪明的储蓄升值网站，主要在德国为用户提供高利率储蓄账户，其不仅在本国银行适用。目前，SavingGlobal获得2000万欧元B轮投资，RibbitCapital领投、IndexVentures、TomStafford、YuriMilner等。|SavingGlobal|金融|理财|北美洲·美国|B轮|2000万欧元|未透露|RibbitCapital,IndexVentures
https://www.itjuzi.com/investevents/14293|Flexport获得2000万美元A轮投资|2015.8.6|Flexport是一家提供海陆空货运服务的公司，用户可以通过软件预定货船、卡车、货运飞机，同时还提供即时追踪服务，帮客户减少文书工作，避免隐性收费，并自动生成分析报告，方便客户进行供应链管理。公司日前获得2000万美元A轮投资，由硅谷著名风险投资家、FoundersFund的创始人PeterThiel领投，现有投资方A-GradeInvestments、BloombergBeta、CherubicVentures、FirstRoundCapital、FuelCapital、FundersClub、谷歌风投（GoogleVentures）、SusaVentures、YCombinator（也是Flexport初创期的孵化器）参投，新投资方还包含中国著名天使投资人陈凛、超级天使基金FelicisVentures、FenwaySummer在内，中国的投资机构策源投资、元璟资本等也都参与。|Flexport|电子商务|快递物流|北美洲·美国|A轮|2000万美元|未透露|FoundersFund,A-GradeInvestments,BloombergBeta,CherubicVentures心元资本,FirstRoundCapital,FuelCapital,GoogleVentures,SusaVentures,YCombinator-YC,FelicisVentures,元璟资本,联创策源
https://www.itjuzi.com/investevents/10213|物流创业LetsTransport获得130万美元种子投资|2015.8.6|LetsTransport是印度一家最后一公里物流服务商，目标是简化当地物流，使其更高效。目前，LetsTransport获得130万美元种子投资，AnkushNijhawan、GauravBhatnagar、ManishDhingra、RebrightPartners等。|LetsTransport|电子商务|快递物流|北美洲·美国|种子轮|130万美元|未透露|RebrightPartners
https://www.itjuzi.com/investevents/10206|家居智能机器人Jibo获得1100万美元B轮投资|2015.8.6|Jibo是一款功能可扩展性的社会机器人，能够识别用户的需求，根据用户的需求做出相应的反应、互动。目前，Jibo获得1100万美元B轮投资，Acer、DentsuVentures，中国的NetPosa、日本的operatorsKDDI和韩国的LGUplus投资。|Jibo|硬件|机器人|北美洲·美国|B轮|1100万美元|未透露|智基创投IDTVC
https://www.itjuzi.com/investevents/10207|内容分发网络公司Fastly获7500万美元D轮融资|2015.8.6|Fastly是一家提供内容分发网络（CDN）服务的公司，提供主机静态内容并把其快速展示给互联网用户的新兴公司。近日该公司获得7500万美元D轮投资，ICONIQ资本领投。|Fastly|企业服务|企业IT服务|北美洲·美国|D轮|7500万美元|未透露|IconiqCapital
https://www.itjuzi.com/investevents/10168|教育数据服务商Panorama获得1200万美元A轮投资|2015.8.5|PanoramaEducation是一家教育科技公司，基于SaaS收集课堂数据，帮助学区、州政府完成对于学生、家长、老师和教职人员的数据分析。目前，Panorama获得1200万美元A轮投资，由SparkCapital和OwlVentures领投，GoogleVentures，Startup:Education，YCombinator跟投。其中Startup:Education由扎克伯格创立。|PanoramaEducation|教育|教育信息化|北美洲·美国|A轮|1200万美元|未透露|SparkCapital,GoogleVentures,YCombinator-YC
