Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/11678|2014.7.31|聪头金融|金融|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/13318|2014.7.31|娱梦游戏|游戏|浙江|A轮|数千万人民币|国金投资
https://www.itjuzi.com/investevents/6907|2014.7.31|珍诚医药在线|医疗健康|浙江|A轮|1亿人民币|华睿投资
https://www.itjuzi.com/investevents/6922|2014.7.31|佳顺伟业CASUN|硬件|广东|A轮|1000万人民币|北极光创投
https://www.itjuzi.com/investevents/6978|2014.7.31|有人有戏|文化娱乐体育|北京|天使轮|数百万人民币|起源资本
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/7246|2014.7.31|杭州云造科技-智行车|硬件|浙江|天使轮|1000万人民币|银杏谷资本,米仓资本,梧桐树资本,太火鸟
https://www.itjuzi.com/investevents/7420|2014.7.31|飞鱼科技|游戏|北京|F轮-上市前|数千万人民币|光信资本
https://www.itjuzi.com/investevents/9089|2014.7.31|顺顺留学|教育|北京|天使轮|数百万人民币|IDG资本
https://www.itjuzi.com/investevents/9265|2014.7.31|车三百(车300)|汽车交通|江苏|天使轮|1000万人民币|五岳天下资本
https://www.itjuzi.com/investevents/10118|2014.7.31|EasyStack易捷思达|企业服务|北京|A轮|200万美元|蓝驰创投
https://www.itjuzi.com/investevents/10883|2014.7.31|冰雨游戏|游戏|上海|天使轮|60万人民币|互动娱乐
https://www.itjuzi.com/investevents/6303|2014.7.30|the L热拉|SNS社交网络|上海|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/6391|2014.7.30|松鼠互联|硬件|北京|A轮|1000万美元|蓝驰创投
https://www.itjuzi.com/investevents/6633|2014.7.30|口语易|教育|广东|A轮|1000万人民币|825新媒体产业基金,华映资本
https://www.itjuzi.com/investevents/6775|2014.7.30|我去活动|旅游|北京|天使轮|数百万人民币|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/6903|2014.7.30|果动方块|游戏|北京|天使轮|数百万人民币| 青山资本
https://www.itjuzi.com/investevents/7135|2014.7.30|优答|教育|北京|A轮|3000万人民币|腾讯,新东方
https://www.itjuzi.com/investevents/8295|2014.7.30|柠萌APP|本地生活|江苏|天使轮|2000万人民币|天奇阿米巴基金
https://www.itjuzi.com/investevents/9019|2014.7.30|途虎养车网|汽车交通|上海|B轮|数千万美元|君联资本,启明创投
https://www.itjuzi.com/investevents/9988|2014.7.30|重庆火缘步甲|游戏|重庆|天使轮|数百万人民币|极客帮创投
https://www.itjuzi.com/investevents/10698|2014.7.30|四海通|工具软件|浙江|A轮|1000万人民币|创东方投资
https://www.itjuzi.com/investevents/3879|2014.7.30|66RPG橙光游戏中心|游戏|北京|A轮|数百万美元|创新工场
https://www.itjuzi.com/investevents/4030|2014.7.30|青岛果来果趣|电子商务|山东|天使轮|数百万人民币|投资方未透露
https://www.itjuzi.com/investevents/4277|2014.7.30|礼物说|电子商务|北京|A轮|300万美元|红杉资本中国,和玉基金,英诺天使基金
https://www.itjuzi.com/investevents/12255|2014.7.30|掌贝微POS(掌贝智能POS)|金融|广东|Pre-A轮|100万美元|金沙江创投
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/14680|2014.7.30|Smart360智享科技|汽车交通|北京|A轮|数百万美元|DCM中国
https://www.itjuzi.com/investevents/12124|2014.7.29|乡亲直供|电子商务|广东|天使轮|数百万人民币|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/3865|2014.7.29|巨人网|教育|北京|A轮|未透露|启迪创投
https://www.itjuzi.com/investevents/3203|2014.7.28|纳人网络|企业服务|北京|天使轮|数百万人民币|北软天使基金,大河创投
https://www.itjuzi.com/investevents/12249|2014.7.28|极睿公司|硬件|天津|天使轮|未透露|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/12292|2014.7.28|你好植物等蜂来|电子商务|四川|天使轮|数百万人民币|险峰长青(险峰华兴)
https://www.itjuzi.com/investevents/12614|2014.7.28|图灵机器人Turing OS|企业服务|北京|A轮|数千万人民币|威盛电子
https://www.itjuzi.com/investevents/15210|2014.7.28|悦畅游科技|游戏|浙江|天使轮|数百万人民币|游侠汇
https://www.itjuzi.com/investevents/7541|2014.7.28|榜样（趣寻网）|教育|北京|天使轮|数百万人民币|险峰长青(险峰华兴),天使投资人王刚
https://www.itjuzi.com/investevents/7902|2014.7.28|妈妈计划|教育|北京|A轮|1000万人民币|投资方未透露
Url|时间|公司|所属行业|地区|轮次|融资额|投资方
https://www.itjuzi.com/investevents/8577|2014.7.26|拼豆夜宵|本地生活|北京|Pre-A轮|数千万人民币|小马蜂创投,信天创投
https://www.itjuzi.com/investevents/15831|2014.7.26|一条视频|文化娱乐体育|上海|天使轮|数百万人民币|合鲸资本
https://www.itjuzi.com/investevents/12975|2014.7.25|老虎证券|金融|北京|天使轮|数百万人民币|孝昌水木投资(唐彬森),点睛战略基金
