融资方,投资机构,融资金额,轮次,投资时间,Url
乐投天下,安芙兰创投，京北投资-京北天使,3000万人民币,A轮,2015-08-14,http://if.pedaily.cn/invest/50006226.shtml
百财车贷,华映资本,N/A,A轮,2015-08-14,http://if.pedaily.cn/invest/50006227.shtml
借贷宝,不详,200000万人民币,天使投资,2015-08-14,http://if.pedaily.cn/invest/50006228.shtml
和堂金融,国金投资,N/A,A轮,2015-08-14,http://if.pedaily.cn/invest/50006229.shtml
迪蒙科技,不详,50000万人民币,A轮,2015-08-11,http://if.pedaily.cn/invest/50006230.shtml
Kaistart开始众筹,浙江文创控股集团,N/A,A轮,2015-08-11,http://if.pedaily.cn/invest/50006202.shtml
京金联,汉能投资,3000万人民币,A轮,2015-08-07,http://if.pedaily.cn/invest/50006231.shtml
石头理财,小米科技,1000万人民币,天使投资,2015-08-07,http://if.pedaily.cn/invest/50006232.shtml
趣分期,蚂蚁金服,20000万美元,E轮,2015-08-07,http://if.pedaily.cn/invest/50006164.shtml
银库,美拓资本,10000万人民币,A轮,2015-08-06,http://if.pedaily.cn/invest/50006163.shtml
产融贷,不详,N/A,天使投资,2015-08-05,http://if.pedaily.cn/invest/50006233.shtml
富途证券/富途牛牛,红杉资本中国，经纬中国，腾讯产业共赢基金/腾讯,6000万美元,B轮,2015-08-04,http://if.pedaily.cn/invest/50006162.shtml
超额宝,联创光电,N/A,A轮,2015-08-03,http://if.pedaily.cn/invest/50006236.shtml
财来网,不详,N/A,天使投资,2015-07-30,http://if.pedaily.cn/invest/50006237.shtml
百筹汇,不详,N/A,天使投资,2015-07-30,http://if.pedaily.cn/invest/50006238.shtml
淘股吧,北京众海投资,N/A,A轮,2015-07-30,http://if.pedaily.cn/invest/50006234.shtml
信而富,瑞银华信,3500万美元,C轮,2015-07-29,http://if.pedaily.cn/invest/50006161.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

爱互融,不详,N/A,天使投资,2015-07-29,http://if.pedaily.cn/invest/50006239.shtml
夸客金融,不详,20000万人民币,天使投资,2015-07-27,http://if.pedaily.cn/invest/50006240.shtml
网信金融,中信资本,4100万美元,B轮,2015-07-27,http://if.pedaily.cn/invest/50006160.shtml
有利网,高瓴资本Hillhouse Capital,4600万美元,C轮,2015-07-26,http://if.pedaily.cn/invest/50006159.shtml
丰投网,华映资本,2000万人民币,A轮,2015-07-23,http://if.pedaily.cn/invest/50006241.shtml
农分期-种子金服,明势资本，梅花天使创投/吴世春,1000万人民币,天使投资,2015-07-21,http://if.pedaily.cn/invest/50006242.shtml
摇钱树,不详,N/A,天使投资,2015-07-20,http://if.pedaily.cn/invest/50006243.shtml
东方融资网,汉理资本，景林投资/景林资产,20000万人民币,A轮,2015-07-20,http://if.pedaily.cn/invest/50006244.shtml
聚财村,华映资本,N/A,天使投资,2015-07-17,http://if.pedaily.cn/invest/50006245.shtml
朋友范,未公开,1000万人民币,天使投资,2015-07-16,http://if.pedaily.cn/invest/50006246.shtml
分金社,不详,N/A,天使投资,2015-07-15,http://if.pedaily.cn/invest/50006235.shtml
众筹客,沃石投资,1000万人民币,天使投资,2015-07-14,http://if.pedaily.cn/invest/50006247.shtml
旺财谷,瑞业投资,N/A,A轮,2015-07-09,http://if.pedaily.cn/invest/50006249.shtml
盛典分期,未公开,1200万人民币,A轮,2015-07-08,http://if.pedaily.cn/invest/50006250.shtml
大特保,联创策源，中国平安/平安创新投资基金，复星昆仲资本/复星,18000万人民币,A轮,2015-07-07,http://if.pedaily.cn/invest/50006252.shtml
懒财网,君联资本/联想投资,N/A,A轮,2015-07-07,http://if.pedaily.cn/invest/50006253.shtml
贝米钱包,源码资本,N/A,A轮,2015-07-06,http://if.pedaily.cn/invest/50006251.shtml
牛股王,未透露,N/A,A轮,2015-07-04,http://if.pedaily.cn/invest/50006158.shtml
蚂蚁金服,全国社保基金/国开金融等,1200000万人民币,并购,2015-07-03,http://if.pedaily.cn/invest/50006155.shtml
简单理财网,未公开,5000万人民币,A轮,2015-07-03,http://if.pedaily.cn/invest/50006254.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

钱海,基石资本,N/A,A轮,2015-07-03,http://if.pedaily.cn/invest/50006255.shtml
宜保通,DFJ/德丰杰中国,N/A,A轮,2015-07-03,http://if.pedaily.cn/invest/50006256.shtml
上海讯联数据,红杉资本中国,N/A,天使投资,2015-07-02,http://if.pedaily.cn/invest/50006257.shtml
金斧子,红杉资本中国，人人公司/千橡互动,5000万美元,B轮,2015-07-02,http://if.pedaily.cn/invest/50006156.shtml
炒饭,明势资本，梅花天使创投/吴世春,3000万人民币,天使投资,2015-07-01,http://if.pedaily.cn/invest/50006258.shtml
汇通达,毅达资本,50000万人民币,A轮,2015-06-30,http://if.pedaily.cn/invest/50006261.shtml
中科柏诚科技,新沃资本,2200万人民币,A轮,2015-06-29,http://if.pedaily.cn/invest/50006260.shtml
借贷宝,未公开,3000万人民币,A轮,2015-06-28,http://if.pedaily.cn/invest/50006259.shtml
票据宝,人人公司/千橡互动,2000万美元,A轮,2015-06-26,http://if.pedaily.cn/invest/50006262.shtml
聚爱财,未公开,N/A,B轮,2015-06-25,http://if.pedaily.cn/invest/50006248.shtml
雄猫软件,汉鼎股份,1505万人民币,A轮,2015-06-25,http://if.pedaily.cn/invest/50006278.shtml
网融天下,和玉基金/和玉复合基金，熙金资本Zhong Capital，易孚泽投资-林广茂,21000万人民币,B轮,2015-06-24,http://if.pedaily.cn/invest/50006276.shtml
拉卡拉,广联达,7000万人民币,并购,2015-06-24,http://if.pedaily.cn/invest/50006277.shtml
稳收宝,未公开,20000万人民币,B轮,2015-06-21,http://if.pedaily.cn/invest/50006269.shtml
拉卡拉,太平人寿/中国再保险集团/大地保险/民航发展基金,150000万人民币,并购,2015-06-21,http://if.pedaily.cn/invest/50006154.shtml
考拉征信,广联达，前程无忧,N/A,A轮,2015-06-20,http://if.pedaily.cn/invest/50006153.shtml
众安保险,鼎晖投资，赛富基金/赛富亚洲基金SAIF，Morgan Stanley摩根士丹利,93400万美元,A轮,2015-06-19,http://if.pedaily.cn/invest/50006152.shtml
考拉理财,未公开,N/A,天使投资,2015-06-19,http://if.pedaily.cn/invest/50006270.shtml
企e融-镭驰金控,京北投资-京北天使,N/A,天使投资,2015-06-18,http://if.pedaily.cn/invest/50006275.shtml
彩云BANK-聚识金融,京北投资-京北天使,N/A,天使投资,2015-06-18,http://if.pedaily.cn/invest/50006267.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

蚂蚁金服,未公开,N/A,A轮,2015-06-17,http://if.pedaily.cn/invest/50006265.shtml
绿能宝,未公开,4000万美元,并购,2015-06-17,http://if.pedaily.cn/invest/50006263.shtml
惠人贷,网易，凯兴资本，金石投资/中信证券,N/A,A轮,2015-06-16,http://if.pedaily.cn/invest/50006151.shtml
网贷之家,赛富亚洲投资基金/创东方,N/A,B轮,2015-06-15,http://if.pedaily.cn/invest/50006150.shtml
51金服-网贷工场,未公开,1000万人民币,天使投资,2015-06-15,http://if.pedaily.cn/invest/50006264.shtml
国佳财富,未公开,3000万人民币,A轮,2015-06-15,http://if.pedaily.cn/invest/50006292.shtml
开财宝,未公开,N/A,A轮,2015-06-12,http://if.pedaily.cn/invest/50006293.shtml
银客网,昆仑万维,2000万美元,B轮,2015-06-12,http://if.pedaily.cn/invest/50006290.shtml
宝点网,富德胜创投,3000万美元,A轮,2015-06-09,http://if.pedaily.cn/invest/50006291.shtml
交易家,陶石资本,1000万人民币,A轮,2015-06-08,http://if.pedaily.cn/invest/50006273.shtml
Wisdom维氏盾-易起查,京北投资-京北天使，风云天使基金,700万人民币,A轮,2015-06-06,http://if.pedaily.cn/invest/50006268.shtml
最操盘,陶石资本,N/A,天使投资,2015-05-31,http://if.pedaily.cn/invest/50006274.shtml
私银家-友道财富,IDG资本,1000万美元,A轮,2015-05-30,http://if.pedaily.cn/invest/50006272.shtml
京北金融-京北众筹,克拉天使,1000万人民币,天使投资,2015-05-30,http://if.pedaily.cn/invest/50006266.shtml
口贷网,深圳市创新投资集团(深创投),N/A,A轮,2015-05-29,http://if.pedaily.cn/invest/50006149.shtml
超交易,AngelVest天使谷，鸣客资本,1500万人民币,A轮,2015-05-25,http://if.pedaily.cn/invest/50006287.shtml
360财富,华映资本,1000万人民币,A轮,2015-05-22,http://if.pedaily.cn/invest/50006283.shtml
旺POS,IDG资本，尚心资本Shining Capital Management,10000万人民币,B轮,2015-05-22,http://if.pedaily.cn/invest/50006284.shtml
云筹网,创业工场VenturesLab，易一天使,1764万人民币,A轮,2015-05-22,http://if.pedaily.cn/invest/50006285.shtml
众投邦,同创伟业,5000万人民币,B轮,2015-05-20,http://if.pedaily.cn/invest/50006146.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

杭州同盾科技,IDG资本，启明创投，宽带资本CBC，华创资本，线性资本LinearVenture,3000万美元,B轮,2015-05-20,http://if.pedaily.cn/invest/50006147.shtml
温州贷,报喜鸟,5500万人民币,A轮,2015-05-20,http://if.pedaily.cn/invest/50006148.shtml
